,product,link
0,Wildlife Variety Yogurt Choobs,https://groceries.asda.com/product/kids-yogurts/wildlife-variety-yogurt-choobs/1000078555663
1,ASDA 6 Low Fat Red Fruit Yogurts,https://groceries.asda.com/product/diet-low-fat-no-added-sugar/asda-6-low-fat-red-fruit-yogurts/910002962908
2,Munch Bunch Double Up Strawberry & Vanilla Yogurts,https://groceries.asda.com/product/kids-yogurts/munch-bunch-double-up-strawberry-vanilla-yogurts/910000446045
3,Ski Smooth Strawberry & Raspberry Yogurts,https://groceries.asda.com/product/diet-low-fat-no-added-sugar/ski-smooth-strawberry-raspberry-yogurts/910000019101
4,"Frubes Strawberry, Red Berry and Peach Flavour Yogurt",https://groceries.asda.com/product/kids-yogurts/frubes-strawberry-red-berry-and-peach-flavour-yogurt/1000078555677
5,Lancashire Farm Natural Yogurt,https://groceries.asda.com/product/natural-greek/lancashire-farm-natural-yogurt/1000000473618
6,Activia Strawberry No Added Sugar Fat Free Yoghurt,https://groceries.asda.com/product/gut-health/activia-strawberry-no-added-sugar-fat-free-yoghurt/1000290068276
7,Activia Rhubarb Yoghurt,https://groceries.asda.com/product/gut-health/activia-rhubarb-yoghurt/1000290068820
8,"Activia Strawberry, Raspberry, Cherry & Blueberry No Added Sugar Fat Free Multipack yoghurt",https://groceries.asda.com/product/gut-health/activia-strawberry-raspberry-cherry-blueberry-no-added-sugar-fat-free-multipack-yoghurt/1000290067947
9,"Activia Mango, Strawberry, Kiwi & Apricot Multipack Yoghurt",https://groceries.asda.com/product/gut-health/activia-mango-strawberry-kiwi-apricot-multipack-yoghurt/1000290068605
10,Actimel Strawberry Cultured Yoghurt Drink,https://groceries.asda.com/product/probiotic-health-kefir-drinks/actimel-strawberry-cultured-yoghurt-drink/71431377
11,Actimel Multifruit Cultured Yoghurt Drink,https://groceries.asda.com/product/probiotic-health-kefir-drinks/actimel-multifruit-cultured-yoghurt-drink/81421582
12,Actimel Strawberry Blueberry Cultured Yoghurt Drink,https://groceries.asda.com/product/probiotic-health-kefir-drinks/actimel-strawberry-blueberry-cultured-yoghurt-drink/910001285141
